"_time","ac_power","total-cpu-utilization","total-disk-accesses","total-disk-blocks","total-disk-utilization","total-instructions_retired","total-last_level_cache_references","total-memory_bus_transactions","total-unhalted_core_cycles"
"03:14:10 2008-Apr-23","321.0","694.04",0,0,0,13966053867,1034894820,43238751,16126276728
"03:14:11 2008-Apr-23","320.0","694.04","13.86","150.5","9.11",14259730137,1040763664,44428867,16457936300
"03:14:12 2008-Apr-23","322.0","694.07","8.91","71.29","6.34",13960652680,1034509563,43239192,16099464574
"03:14:13 2008-Apr-23","321.0","694.07",0,0,0,14322602285,1053398887,44399721,16506214915
"03:14:14 2008-Apr-23","320.0","694.07",0,0,0,14016635008,1022712738,43367479,16068216603
"03:14:15 2008-Apr-23","321.0","694.07",0,0,0,14306291960,1060121983,44510985,16526979189
"03:14:16 2008-Apr-23","321.0","695.06","12.87","134.65","8.32",14068759388,1026574212,43632873,16209997347
"03:14:17 2008-Apr-23","323.0","693.18","7.92","63.37","4.75",14203361400,1052489428,44004836,16386110878
"03:14:18 2008-Apr-23","320.0","694.74",0,0,0,14054741832,1033477391,43368162,16190581132
"03:14:19 2008-Apr-23","321.0","693.95",0,0,0,14288808955,1033887231,45414831,16404425735
"03:14:20 2008-Apr-23","322.0","693.53",0,0,0,13812237043,1038171362,44663458,16190148182
"03:14:21 2008-Apr-23","323.0","693.98","13.73","149.02","8.63",14207554809,1023894173,45858302,16404872016
"03:14:22 2008-Apr-23","322.0","695.14","1.98","15.84","3.17",13870452247,1034472106,44629079,16171536588
"03:14:23 2008-Apr-23","320.0","692.85",0,0,0,14048018364,1047674822,45250605,16420889841
"03:14:24 2008-Apr-23","322.0","694.41",0,0,0,13882111304,1027348227,44496410,16190293684
"03:14:25 2008-Apr-23","321.0","693.84",0,0,0,14027756940,1054127764,44993761,16402294338
"03:14:26 2008-Apr-23","322.0","694.41","21.78","277.23","10.69",13991204191,1018684106,45066225,16190855255
"03:14:27 2008-Apr-23","321.0","693.83","13.86","110.89","9.9",13807863318,1052378816,46619067,16398918855
"03:14:28 2008-Apr-23","322.0","694.49",0,0,0,13862401508,1013183474,46432695,16193971756
"03:14:29 2008-Apr-23","322.0","694.64",0,0,0,13790576633,1051290281,46323702,16377811368
"03:14:30 2008-Apr-23","321.0","694.55",0,0,0,13693913474,1036129257,45577581,16212171907
"03:14:31 2008-Apr-23","321.0","692.88",0,0,0,13790474362,1043326258,46460420,16368578077
"03:14:32 2008-Apr-23","321.5","692.06","12.62","132.04","7.77",13697408021,1028484810,46227909,16221024780
"03:14:33 2008-Apr-23","322.0","689.67",0,0,0,13653980906,1041156018,46350433,16267763349
"03:14:34 2008-Apr-23","323.0","690.70",0,0,0,13664198026,1041836844,46539903,16305594527
"03:14:35 2008-Apr-23","321.0","688.76",0,0,0,13856324224,1056171061,46176425,16412476682
"03:14:36 2008-Apr-23","322.0","693.12",0,0,0,13673733686,1034670545,45772618,16205076691
"03:14:37 2008-Apr-23","321.0","691.12","16.83","174.26","11.49",13710495501,1045331028,46131484,16298095307
"03:14:38 2008-Apr-23","323.0","691.35",0,0,0,13772863314,1041995352,46166941,16326757697
"03:14:39 2008-Apr-23","321.0","690.81",0,0,0,13780327630,1042619687,46007530,16308898174
"03:14:40 2008-Apr-23","322.0","692.21",0,0,0,13707081174,1037083096,45981461,16249596448
"03:14:41 2008-Apr-23","322.0","690.55",0,0,0,13713385972,1037576449,46075700,16281624429
"03:14:42 2008-Apr-23","323.0","692.88","15.69","164.71","9.02",13812423410,1052904610,46272405,16397657230
"03:14:43 2008-Apr-23","321.0","690.19",0,0,0,13676341502,1042851292,45691072,16215091717
"03:14:44 2008-Apr-23","322.0","691.37",0,0,0,13777326708,1042275401,46344877,16304441354
"03:14:45 2008-Apr-23","323.0","691.52",0,0,0,13681413209,1043224876,45710464,16229745975
"03:14:46 2008-Apr-23","322.0","690.63",0,0,0,13621188016,1030788950,46194262,16191266229
"03:14:47 2008-Apr-23","321.0","691.33","14.71","156.86","10.98",13744887952,1042284309,46619524,16350262257
"03:14:48 2008-Apr-23","321.0","692.22",0,0,0,13865736885,1025340869,47682259,16371469555
