"_time","ac_power","total-cpu-utilization","total-disk-accesses","total-disk-blocks","total-disk-utilization","total-instructions_retired","total-last_level_cache_references","total-memory_bus_transactions","total-unhalted_core_cycles"
"13:51:28 2008-Apr-14","220.0","0.99",0,0,0,3924639,75140,5130,4708152
"13:51:29 2008-Apr-14","220.0","1.15","5.49","214.63","3.66",28433358,590082,180003,40827356
"13:51:30 2008-Apr-14","223.0","0.99","30.43","817.39","30.43",10417228,360018,111197,21717729
"13:51:31 2008-Apr-14","220.0","0.00",0,0,0,3985700,80619,9450,5042548
"13:51:32 2008-Apr-14","220.0","0.99",0,0,0,3788243,68477,3582,4418062
"13:51:33 2008-Apr-14","220.0","0.00",0,0,0,4004741,79560,8165,5067208
"13:51:34 2008-Apr-14","220.0","0.99",0,0,0,3803393,77156,5327,4567203
"13:51:35 2008-Apr-14","219.0","0.00",0,0,0,4820481,114525,16096,7340077
"13:51:36 2008-Apr-14","221.0","0.00","23.68","357.89","14.74",6715741,128729,27153,11564417
"13:51:37 2008-Apr-14","221.0","0.00",0,0,0,4252939,96290,8079,5698246
"13:51:38 2008-Apr-14","220.0","0.00",0,0,0,4107786,83921,6162,5146265
"13:51:39 2008-Apr-14","221.0","0.00",0,0,0,4220110,97364,7987,5624725
"13:51:40 2008-Apr-14","220.0","0.00",0,0,0,4080229,90326,7365,5346210
"13:51:41 2008-Apr-14","221.0","0.00","7.14","93.51","3.38",3811338,78068,5015,4643060
"13:51:42 2008-Apr-14","221.0","0.00",0,0,0,7230999,96719,35672,6515339
"13:51:43 2008-Apr-14","220.0","0.00",0,0,0,3902432,80176,6752,4906149
"13:51:44 2008-Apr-14","220.0","0.00",0,0,0,3758815,70305,3625,4322756
"13:51:45 2008-Apr-14","221.0","0.00",0,0,0,3949818,80603,5505,4872593
"13:51:46 2008-Apr-14","221.0","3.70","35.14","540.54","17.3",3835019,80308,6021,4750188
"13:51:47 2008-Apr-14","220.0","0.00",0,0,0,3835010,75736,4423,4523416
"13:51:48 2008-Apr-14","220.0","0.00",0,0,0,3740313,68924,3290,4292288
"13:51:49 2008-Apr-14","220.0","0.00",0,0,0,3884749,78350,4488,4628737
"13:51:50 2008-Apr-14","221.0","0.00",0,0,0,3837613,77371,4745,4665246
"13:51:51 2008-Apr-14","220.0","0.00","8.44","93.51","2.86",3996913,89528,7647,5130886
"13:51:52 2008-Apr-14","221.0","0.00",0,0,0,3708610,67195,2789,4168413
"13:51:53 2008-Apr-14","220.0","0.00","6.75","53.99","2.21",4063945,91750,7953,5279916
"13:51:54 2008-Apr-14","220.0","0.00",0,0,0,3772877,69599,3446,4295518
"13:51:55 2008-Apr-14","220.0","0.00",0,0,0,3938133,80925,5957,4888768
"13:51:56 2008-Apr-14","220.0","0.00","32.43","367.57","14.05",3921247,82722,5468,4810242
"13:51:57 2008-Apr-14","221.0","0.00",0,0,0,4032081,88542,5451,5016430
"13:51:58 2008-Apr-14","220.0","0.98","86.49","929.73","47.57",4563076,112843,13516,6619796
"13:51:59 2008-Apr-14","221.0","0.99",0,0,0,4263588,95864,7768,5705822
"13:52:00 2008-Apr-14","219.0","0.00",0,0,0,3967483,81869,5260,4981614
"13:52:01 2008-Apr-14","222.0","0.00","8.44","93.51","3.12",4086177,90092,7869,5274079
"13:52:02 2008-Apr-14","220.0","0.99",0,0,0,3807011,70194,3481,4376413
"13:52:03 2008-Apr-14","220.0","0.00",0,0,0,3905791,76984,5190,4723345
"13:52:04 2008-Apr-14","220.0","0.00",0,0,0,3825053,68695,3456,4348612
"13:52:05 2008-Apr-14","220.0","0.00",0,0,0,3969250,81080,5363,4840809
"13:52:06 2008-Apr-14","221.0","0.00","37.84","389.19","12.97",3945905,81821,5530,4804226
"13:52:07 2008-Apr-14","220.0","0.00",0,0,0,3904334,75177,4262,4568695
"13:52:08 2008-Apr-14","221.0","0.00",0,0,0,3824634,71234,3472,4397633
"13:52:09 2008-Apr-14","220.0","0.00",0,0,0,3937147,78074,4536,4717986
"13:52:10 2008-Apr-14","221.0","0.00",0,0,0,3919467,75993,5444,4749645
"13:52:11 2008-Apr-14","220.0","0.00","12.34","129.87","3.38",4030788,88639,7175,5106833
"13:52:12 2008-Apr-14","220.0","0.00",0,0,0,3782975,69090,3098,4278007
"13:52:13 2008-Apr-14","220.0","0.00",0,0,0,3927833,77332,4488,4702367
"13:52:14 2008-Apr-14","220.0","0.99",0,0,0,3750175,69089,3280,4243782
"13:52:15 2008-Apr-14","219.0","0.00",0,0,0,3990836,82008,5541,4874888
"13:52:16 2008-Apr-14","220.0","-0.00","35.14","389.19","14.05",3969386,81387,5658,4912768
"13:52:17 2008-Apr-14","221.0","0.00",0,0,0,4108959,93948,6367,5303123
"13:52:18 2008-Apr-14","221.0","0.00",0,0,0,4080302,82808,5616,5074424
"13:52:19 2008-Apr-14","221.0","0.00",0,0,0,4113724,92270,6705,5309449
"13:52:20 2008-Apr-14","220.0","0.00",0,0,0,3959674,80961,5212,4874026
"13:52:21 2008-Apr-14","221.0","0.00","8.44","93.51","3.12",4047943,87955,5872,5097333
"13:52:22 2008-Apr-14","221.0","0.99",0,0,0,3811023,71934,3498,4458184
"13:52:23 2008-Apr-14","220.0","0.00",0,0,0,3941279,77045,4833,4767672
"13:52:24 2008-Apr-14","220.0","0.99",0,0,0,3844865,71656,3697,4520335
"13:52:25 2008-Apr-14","221.0","0.00",0,0,0,4029045,81405,5116,4932357
"13:52:26 2008-Apr-14","220.0","0.99","35.14","410.81","12.97",4026564,87544,6928,5187095
"13:52:27 2008-Apr-14","220.0","0.00",0,0,0,3944548,79465,4800,4784038
"13:52:28 2008-Apr-14","221.0","0.00","26.32","210.53","6.32",4224367,94829,7908,5695407
"13:52:29 2008-Apr-14","221.0","0.98",0,0,0,4416748,104730,10390,6166155
"13:52:30 2008-Apr-14","221.0","0.00",0,0,0,4026239,84120,5743,5002664
"13:52:31 2008-Apr-14","220.0","0.00","7.79","93.51","2.34",4010674,87323,6333,5011962
"13:52:32 2008-Apr-14","221.0","0.00",0,0,0,3755952,68679,3174,4286798
"13:52:33 2008-Apr-14","220.0","0.00","8.02","64.2","2.47",4078032,93321,7044,5303570
"13:52:34 2008-Apr-14","221.0","0.00",0,0,0,3777127,70775,3660,4379565
"13:52:35 2008-Apr-14","219.0","0.00",0,0,0,3939730,80510,5508,4815918
"13:52:36 2008-Apr-14","219.5","0.00","34.21",400,"11.58",4016125,86724,6682,5183164
"13:52:37 2008-Apr-14","220.0","0.00",0,0,0,4101873,89912,5732,5232197
"13:52:38 2008-Apr-14","221.0","0.00","2.7","21.62","6.49",4061520,86015,5603,5074468
"13:52:39 2008-Apr-14","220.0","0.00",0,0,0,4084133,93908,6424,5246330
"13:52:40 2008-Apr-14","219.0","0.00",0,0,0,3920082,80003,5053,4825201
"13:52:41 2008-Apr-14","220.0","0.00","12.99","135.06","3.12",4102836,92417,6974,5348913
"13:52:42 2008-Apr-14","221.0","0.00",0,0,0,7257153,97290,32586,6477011
"13:52:43 2008-Apr-14","220.0","0.00","0.65","5.23","1.31",3959879,82700,5884,4867851
"13:52:44 2008-Apr-14","220.0","0.00",0,0,0,3770074,68748,3343,4277202
"13:52:45 2008-Apr-14","220.0","0.00",0,0,0,3968690,80267,5061,4814704
"13:52:46 2008-Apr-14","221.0","0.00","35.14","410.81","9.73",3938465,80542,5972,4888687
"13:52:47 2008-Apr-14","220.0","0.00",0,0,0,3927095,76994,4563,4665468
"13:52:48 2008-Apr-14","220.0","0.00","2.7","21.62","5.41",3832716,74061,3766,4461754
"13:52:49 2008-Apr-14","220.0","0.00",0,0,0,3917080,78300,4276,4619369
"13:52:50 2008-Apr-14","221.0","0.00",0,0,0,3895801,75208,4611,4609714
"13:52:51 2008-Apr-14","220.0","0.00","7.79","93.51","2.34",4023613,88154,6399,5096520
"13:52:52 2008-Apr-14","220.0","0.00",0,0,0,3836589,71105,3531,4430485
"13:52:53 2008-Apr-14","221.0","0.00","0.61","4.91","0.98",3870611,78854,4019,4546305
"13:52:54 2008-Apr-14","220.0","0.00",0,0,0,3820297,71203,3628,4393895
"13:52:55 2008-Apr-14","221.0","0.00",0,0,0,3990732,81790,5329,4886599
"13:52:56 2008-Apr-14","220.0","0.00","35.14","410.81","10.81",3984239,88332,6155,4970715
"13:52:57 2008-Apr-14","221.0","0.00",0,0,0,4484283,98552,8123,6088233
"13:52:58 2008-Apr-14","220.0","0.99","2.7","21.62","6.49",4108976,87458,5803,5224344
"13:52:59 2008-Apr-14","221.0","0.99",0,0,0,4175117,94130,6654,5422310
"13:53:00 2008-Apr-14","219.0","0.00",0,0,0,3951573,81939,5044,4830297
"13:53:01 2008-Apr-14","220.0","0.00","7.84","94.12","2.61",4054994,91096,6835,5198737
"13:53:02 2008-Apr-14","221.0","0.00",0,0,0,3816305,71088,3427,4338279
"13:53:03 2008-Apr-14","220.0","0.00","0.61","4.91","1.23",3942016,79138,4870,4716544
"13:53:04 2008-Apr-14","221.0","0.00",0,0,0,3815478,72348,3554,4411627
"13:53:05 2008-Apr-14","219.0","0.00",0,0,0,4006128,80436,5023,4813027
"13:53:06 2008-Apr-14","220.0","-0.00","35.14","410.81","15.14",4117351,91758,6639,5347380
"13:53:07 2008-Apr-14","220.0","0.00",0,0,0,3939908,79824,4803,4747749
"13:53:08 2008-Apr-14","221.0","0.00","37.84","410.81","6.49",4047082,86061,7033,5104624
"13:53:09 2008-Apr-14","220.0","0.00",0,0,0,4010570,85462,5122,4914843
"13:53:10 2008-Apr-14","220.0","0.00",0,0,0,3878312,76442,4843,4691278
"13:53:11 2008-Apr-14","220.0","0.00","8.44","93.51","3.38",4101927,93070,7073,5339765
"13:53:12 2008-Apr-14","220.0","0.00",0,0,0,3763292,69549,3126,4304240
"13:53:13 2008-Apr-14","220.0","0.00","6.17","49.38","1.48",4023550,93735,6870,5347419
"13:53:14 2008-Apr-14","220.0","0.00",0,0,0,3777076,71296,3482,4329066
"13:53:15 2008-Apr-14","220.0","0.00",0,0,0,4015215,86072,6050,5060754
"13:53:16 2008-Apr-14","219.0","0.00","34.21","421.05","13.68",3980603,87139,6246,5120212
"13:53:17 2008-Apr-14","220.0","0.00",0,0,0,3977288,87735,4964,5048625
"13:53:18 2008-Apr-14","220.0","0.98","5.41","43.24","6.49",4067064,87155,5749,5208865
"13:53:19 2008-Apr-14","220.0","0.00",0,0,0,4192840,94226,6873,5561408
"13:53:20 2008-Apr-14","220.0","0.99",0,0,0,52462821,285004,139916,82323898
"13:53:21 2008-Apr-14","220.0","0.00",14,160,"4.8",4076505,93890,9262,5354657
"13:53:22 2008-Apr-14","220.0","0.99",0,0,0,3844004,69794,3509,4501700
"13:53:23 2008-Apr-14","221.0","0.00","0.71","5.71","1.14",3931668,80867,5177,4798380
"13:53:24 2008-Apr-14","220.0","0.98",0,0,0,3853061,73249,3661,4484025
"13:53:25 2008-Apr-14","221.0","0.00",0,0,0,3921820,83338,5475,4831638
"13:53:26 2008-Apr-14","220.0","1.00","32.43","389.19","12.97",3890246,79487,5946,4847691
"13:53:27 2008-Apr-14","220.0","0.00",0,0,0,3891076,77784,4631,4651550
"13:53:28 2008-Apr-14","221.0","0.00","2.7","21.62","4.32",3910462,78510,4419,4714323
"13:53:29 2008-Apr-14","219.0","0.00",0,0,0,4009185,89766,6590,5085201
"13:53:30 2008-Apr-14","220.0","0.00",0,0,0,3909880,80654,4737,4763214
"13:53:31 2008-Apr-14","220.0","-0.00",13,160,"5.6",3958163,88464,6260,5048871
"13:53:32 2008-Apr-14","220.0","0.00",0,0,0,3807604,73329,3629,4408034
"13:53:33 2008-Apr-14","220.0","0.00","0.61","4.91","1.23",4005043,85909,4922,4983802
"13:53:34 2008-Apr-14","220.0","0.00",0,0,0,3762376,71303,3308,4271401
"13:53:35 2008-Apr-14","220.0","0.00",0,0,0,4037575,84120,6211,5123686
"13:53:36 2008-Apr-14","220.0","0.00","32.43","410.81","14.05",3911306,85761,5757,4873253
"13:53:37 2008-Apr-14","220.0","0.00",0,0,0,4190226,92622,6113,5377325
"13:53:38 2008-Apr-14","220.0","0.00",1,8,2,4171748,88667,6503,5401817
"13:53:39 2008-Apr-14","221.0","0.00",0,0,0,4185046,95580,6590,5489768
"13:53:40 2008-Apr-14","219.0","0.00",0,0,0,4003582,84976,6207,5137709
"13:53:41 2008-Apr-14","220.0","0.00","10.39","140.26","2.86",4088934,92453,6862,5241597
"13:53:42 2008-Apr-14","220.0","0.00",0,0,0,7177874,98179,23585,6325864
"13:53:43 2008-Apr-14","221.0","0.00","1.3","10.39","1.56",3949433,84305,5791,4869228
"13:53:44 2008-Apr-14","220.0","0.00",0,0,0,3740992,69680,3069,4219017
"13:53:45 2008-Apr-14","220.0","0.00",0,0,0,3922924,79570,4887,4724802
"13:53:46 2008-Apr-14","219.0","-0.00","32.43","389.19","10.81",3942864,80958,5592,4923348
"13:53:47 2008-Apr-14","221.0","0.00",0,0,0,3904720,78885,4774,4694930
"13:53:48 2008-Apr-14","220.0","0.00","32.43","259.46","9.73",4016960,88072,6651,5069148
"13:53:49 2008-Apr-14","220.0","0.00",0,0,0,3935060,82229,4596,4780962
"13:53:50 2008-Apr-14","220.0","0.00",0,0,0,3904440,75815,5185,4750410
"13:53:51 2008-Apr-14","221.0","0.00","8.39","103.23","2.32",4079519,91442,6987,5272645
"13:53:52 2008-Apr-14","220.0","0.00",0,0,0,3751935,68128,2949,4271311
"13:53:53 2008-Apr-14","220.0","0.00","6.13","49.08","1.96",4056711,92815,6316,5155638
"13:53:54 2008-Apr-14","221.0","0.00",0,0,0,3785916,72193,3645,4347611
"13:53:55 2008-Apr-14","221.0","0.00",0,0,0,4036917,86943,6661,5074322
"13:53:56 2008-Apr-14","219.0","0.00","32.43","389.19","11.89",3948325,86068,6256,5061498
"13:53:57 2008-Apr-14","220.0","0.00",0,0,0,4107268,90073,5684,5268357
"13:53:58 2008-Apr-14","221.0","0.99","5.41","43.24","5.41",4427824,96311,8014,5967059
"13:53:59 2008-Apr-14","220.0","0.00",0,0,0,4552422,100086,8982,6333287
"13:54:00 2008-Apr-14","219.5","0.00",0,0,0,4212862,87483,6255,5389952
"13:54:01 2008-Apr-14","219.0","0.99","8.5","104.58","2.61",3940789,87913,5649,4950101
"13:54:02 2008-Apr-14","220.0","0.00",0,0,0,3760703,68256,2903,4210777
"13:54:03 2008-Apr-14","220.0","0.00","1.23","9.82","0.98",3942322,84238,5292,4848740
"13:54:04 2008-Apr-14","221.0","0.00",0,0,0,3800310,70489,3368,4404464
"13:54:05 2008-Apr-14","220.0","0.00",0,0,0,4034428,85279,6405,5033869
"13:54:06 2008-Apr-14","220.0","0.00","51.35","562.16","10.81",3862206,80042,5580,4743524
"13:54:07 2008-Apr-14","220.0","0.00",0,0,0,3978187,82785,5277,4883022
"13:54:08 2008-Apr-14","221.0","0.00","2.7","21.62","4.32",3829959,75007,3939,4493763
"13:54:09 2008-Apr-14","220.0","0.00",0,0,0,3920357,79087,4423,4676565
"13:54:10 2008-Apr-14","220.0","0.00",0,0,0,3968365,78148,5251,4871437
"13:54:11 2008-Apr-14","220.0","0.00","8.44","103.9","2.34",4009204,91160,6520,5154272
"13:54:12 2008-Apr-14","221.0","0.00",0,0,0,3791108,71540,3305,4401879
"13:54:13 2008-Apr-14","220.0","0.00","0.61","4.91","1.23",4001148,81513,5010,4956544
"13:54:14 2008-Apr-14","220.0","0.99",0,0,0,3886278,71062,3650,4527623
"13:54:15 2008-Apr-14","220.0","0.00",0,0,0,4141897,85703,6408,5244973
"13:54:16 2008-Apr-14","220.0","-0.00","31.58","378.95","13.68",3995239,85896,5861,5026652
"13:54:17 2008-Apr-14","220.0","0.99",0,0,0,4137642,89739,5785,5336928
"13:54:18 2008-Apr-14","220.0","0.00","2.63","21.05","5.26",4141405,85557,5688,5312665
"13:54:19 2008-Apr-14","221.0","0.00",0,0,0,4149514,90840,6010,5420465
"13:54:20 2008-Apr-14","220.0","4.56",0,0,0,4010193,82489,5320,5017023
"13:54:21 2008-Apr-14","221.0","0.99","9.09","103.9","3.12",4021601,93015,6555,5205644
"13:54:22 2008-Apr-14","220.0","0.00",0,0,0,3759789,68335,3243,4326079
"13:54:23 2008-Apr-14","221.0","0.00","1.22","9.76","1.46",3933694,81969,5097,4794578
"13:54:24 2008-Apr-14","220.0","0.00",0,0,0,3764377,68272,3153,4261837
"13:54:25 2008-Apr-14","220.0","0.00",0,0,0,3992896,83258,5874,5038938
"13:54:26 2008-Apr-14","220.0","0.00","35.14","432.43","15.14",3993578,84528,6262,4957996
"13:54:27 2008-Apr-14","221.0","0.00",0,0,0,4123988,89275,6147,5284129
"13:54:28 2008-Apr-14","221.0","0.00","35.14","281.08","11.89",4031310,90981,6708,5180111
"13:23:01 2008-Apr-15","222.0","0.00",0,0,0,3967379,85468,7693,5079530
"13:23:02 2008-Apr-15","222.0","0.95",15,376,"11.6",28913615,602291,185660,41726035
"13:23:03 2008-Apr-15","231.0","93.05","18.63","329.41","16.86",8725002973,415171,133086,2206157996
"13:23:04 2008-Apr-15","235.0","99.90",0,0,0,6445824532,112876,14978,2336914609
"13:23:05 2008-Apr-15","235.0","14.67","1.23","9.82","1.23",527808157,131326,22326,203625595
"13:23:06 2008-Apr-15","221.0","0.00",0,0,0,3926256,75610,5883,5009704
"13:23:07 2008-Apr-15","223.0","0.00",0,0,0,4240314,95069,10202,5925892
"13:23:08 2008-Apr-15","221.0","0.00","24.56","435.09","17.54",4268320,103578,13026,6165317
"13:23:09 2008-Apr-15","221.0","0.00",0,0,0,4128032,92162,7918,5579719
"13:23:10 2008-Apr-15","222.0","0.00",0,0,0,3920345,74854,5320,4904924
"13:23:11 2008-Apr-15","223.0","0.00","7.78","111.11","5.56",4379640,108195,13459,6568087
"13:23:12 2008-Apr-15","221.0","0.00",0,0,0,3991841,82350,5533,5131847
"13:23:13 2008-Apr-15","221.0","0.00",0,0,0,4022260,80798,5689,5146696
"13:23:14 2008-Apr-15","223.0","-0.00",31,384,"12.4",4405032,108954,13991,6551763
"13:23:15 2008-Apr-15","222.0","0.99",0,0,0,4043703,82596,6340,5275062
"13:23:16 2008-Apr-15","222.0","0.00",0,0,0,3936058,76090,4733,4963629
"13:23:17 2008-Apr-15","222.0","-0.00","13.13","177.78","8.08",4354068,107308,11947,6375869
"13:23:18 2008-Apr-15","222.0","0.00",0,0,0,3973303,79432,5403,5095832
"13:23:19 2008-Apr-15","222.0","0.00","20.73","209.76","11.71",4675588,126701,16316,7451449
"13:23:20 2008-Apr-15",222,"0.99",0,0,0,52375871,279714,154372,82116399
"13:23:21 2008-Apr-15","222.0","-0.00","8.59","132.52","5.4",4347694,108130,15957,6656470
"13:23:22 2008-Apr-15","221.0","0.00",0,0,0,4282714,93960,8268,6012190
"13:23:23 2008-Apr-15","222.0","0.97",0,0,0,4129651,92039,7514,5662638
"13:23:24 2008-Apr-15","222.0","-0.00","11.11","170.94","7.52",4374905,107746,13809,6639695
"13:23:25 2008-Apr-15","221.0","0.99",0,0,0,4020811,81291,5697,5243600
"13:23:26 2008-Apr-15","222.0","0.00",0,0,0,3976289,77180,4945,5027085
"13:23:27 2008-Apr-15","222.0","0.00",13,176,"9.2",4331772,108757,11179,6379999
"13:23:28 2008-Apr-15","222.0","0.98",0,0,0,3998468,78919,5069,5205133
"13:23:29 2008-Apr-15","221.0","0.00",0,0,0,4047875,81897,5778,5332815
"13:23:30 2008-Apr-15","222.0","-0.00",14,216,"9.2",4336532,105283,11308,6375141
"13:23:31 2008-Apr-15","222.0","0.98",0,0,0,4125700,89745,6904,5584430
"13:23:32 2008-Apr-15",222,"0.00",0,0,0,3932503,73985,4512,4919773
"13:23:33 2008-Apr-15","222.0","0.99","14.29","204.08","8.57",4383417,107103,11051,6366483
"13:23:34 2008-Apr-15","222.0","0.98",0,0,0,3979206,77586,5128,5067587
"13:23:35 2008-Apr-15","221.0","0.00",0,0,0,4015661,82185,5455,5153065
"13:23:36 2008-Apr-15","222.0","0.00",0,0,0,3928518,75382,4430,4894929
"13:23:37 2008-Apr-15","221.0","0.99",13,176,8,4314495,104344,10529,6256316
"13:23:38 2008-Apr-15","222.0","0.98",0,0,0,4200240,89513,6804,5611283
"13:23:39 2008-Apr-15","221.0","0.00",0,0,0,4501372,102118,9465,6406020
"13:23:40 2008-Apr-15","222.0","-0.00",14,216,"9.6",4662642,110912,12650,6935540
"13:23:41 2008-Apr-15","222.0","0.00",0,0,0,4156666,93051,6563,5544141
"13:23:42 2008-Apr-15","222.0","0.00",0,0,0,7681887,118935,29986,7769133
"13:23:43 2008-Apr-15","222.0","-0.00",22,272,"9.6",4395320,113054,14143,6641067
"13:23:44 2008-Apr-15","222.0","0.00",0,0,0,3911136,76297,4488,4872483
"13:23:45 2008-Apr-15","222.0","0.00",0,0,0,4016945,80592,5372,5070254
"13:23:46 2008-Apr-15","221.0","-0.00",13,176,"9.6",4265265,100428,10037,5988066
"13:23:47 2008-Apr-15","222.0","0.00",0,0,0,4018075,83157,5884,5179361
"13:23:48 2008-Apr-15","222.0","0.00",0,0,0,3942127,78655,5446,5006505
"13:23:49 2008-Apr-15","222.0","-0.00",15,216,"9.2",4390741,108197,11379,6468624
"13:23:50 2008-Apr-15","221.0","0.00",0,0,0,4008300,80165,5096,5072844
"13:23:51 2008-Apr-15","222.0","0.99",0,0,0,4109344,86831,6488,5507554
"13:23:52 2008-Apr-15","221.0","0.00",0,0,0,4020044,76527,5236,5172832
"13:23:53 2008-Apr-15","222.0","-0.00",14,208,8,4372663,106557,11057,6324331
"13:23:54 2008-Apr-15","222.0","0.99",1,8,2,3973218,78187,5327,5045250
"13:23:55 2008-Apr-15","221.0","0.00",0,0,0,4051339,81465,5961,5225455
"13:23:56 2008-Apr-15","222.0","0.00","32.5",440,19,4266474,98953,9371,5993687
"13:23:57 2008-Apr-15","222.0","0.00",0,0,0,4085999,86022,5882,5319563
"13:23:58 2008-Apr-15","221.0","0.00",0,0,0,4037297,82130,5587,5215633
"13:23:59 2008-Apr-15","222.0","0.00","8.59","142.33","5.4",4651224,123489,13607,7085967
"13:24:00 2008-Apr-15","223.0","0.00",0,0,0,4292816,98703,10198,5998023
"13:24:01 2008-Apr-15","222.0","0.00",0,0,0,3974100,84645,5230,4909930
"13:24:02 2008-Apr-15","222.0","0.00",0,0,0,4249014,85538,6839,5546664
"13:24:03 2008-Apr-15","221.0","0.00",0,0,0,3956057,84853,5213,4915162
"13:24:04 2008-Apr-15","222.0","0.00","27.03","216.22","14.05",4182557,101046,9280,5855659
"13:24:05 2008-Apr-15","221.0","-0.00","25.71","1147.43","19.66",7078353,271203,52121,13342410
"13:24:06 2008-Apr-15","222.0","-0.00","47.83","2347.83","30.87",6381047,242309,43365,11786043
"13:24:07 2008-Apr-15","222.0","-0.00","43.69","2120.39","27.96",6313667,245767,44643,11680348
"13:24:08 2008-Apr-15","223.0","1.13","39.64","1974.77","26.67",6315175,240113,43046,11682931
"13:24:09 2008-Apr-15","221.0","0.00","46.81","2297.87","33.62",6482049,256054,44190,12123054
"13:24:10 2008-Apr-15","221.0","-0.00","43.56","2138.61","29.31",6289328,240304,42190,11470862
"13:24:11 2008-Apr-15","222.0","0.00",44,2160,"28.4",6348652,250023,43573,11865167
"13:24:12 2008-Apr-15","222.0","-0.00","49.47","2366.32",32,6349168,245536,43068,11706964
"13:24:13 2008-Apr-15","221.0","-0.00","41.9","2087.62","28.19",6320382,246087,42490,11642912
"13:24:14 2008-Apr-15","221.0","1.05","46.32","2273.68","32.42",6297660,239602,42246,11473855
"13:24:15 2008-Apr-15","221.0","0.00","43.56","2138.61","29.31",6381651,247467,42891,11762494
"13:24:16 2008-Apr-15","222.0","-0.00",40,"1963.64","24.73",6281935,236718,42289,11489301
"13:24:17 2008-Apr-15","221.0","-0.00","48.89","2426.67","24.89",6367830,245722,42835,11767373
"13:24:18 2008-Apr-15","222.0","1.91","41.9","2087.62","20.95",6351848,245901,42793,11623544
"13:24:19 2008-Apr-15","221.0","0.00","46.32","2273.68","28.21",6836939,267852,45773,12950621
"13:24:20 2008-Apr-15","222.0","-0.00","44.44","2181.82","27.47",6854630,257519,44609,12632544
"13:24:21 2008-Apr-15","221.0","0.00","43.56","2138.61","26.14",6443724,248649,42852,11983560
"13:24:22 2008-Apr-15","222.0","-0.00","41.9","2057.14","23.62",6687971,256869,43596,12540638
"13:24:23 2008-Apr-15","221.0","-0.00","43.56","2170.3","22.97",6370842,251261,42218,11773875
"13:24:24 2008-Apr-15","222.0","0.00","43.56","2138.61","26.14",6301058,241949,42336,11637717
"13:24:25 2008-Apr-15","222.0","0.91","47.83","2347.83","32.17",6405627,247044,42829,11936555
"13:24:26 2008-Apr-15","222.0","0.00","43.56","2162.38","28.51",6325540,240741,41797,11560914
"13:24:27 2008-Apr-15","221.0","-0.00","42.72","2097.09","29.13",6331762,244058,42898,11635274
"13:24:28 2008-Apr-15","222.0","-0.00","45.36","2259.79","31.34",6266786,237443,41773,11400386
"13:24:29 2008-Apr-15","222.0","0.00","42.72","2097.09","31.46",6472947,250586,43480,11962426
"13:24:30 2008-Apr-15","221.0","-0.00","42.31","2076.92","29.23",6257389,237681,41682,11356163
"13:24:31 2008-Apr-15","222.0","-0.00","45.36","2226.8","31.34",6388074,249891,43098,11792841
"13:24:32 2008-Apr-15","222.0","-0.00","40.74",2000,"28.15",6427140,241273,42214,11628106
"13:24:33 2008-Apr-15","222.0","0.00","47.83","2382.61","33.04",6303013,243898,42453,11634476
"13:24:34 2008-Apr-15","221.0","-0.00","43.27","2084.62","30.77",6382449,244378,43135,11829696
"13:24:35 2008-Apr-15","223.0","1.04","45.83",2275,"31.67",6339374,247353,43384,11868960
"13:24:36 2008-Apr-15","222.0","0.00","40.37","1981.65","24.95",6268246,236276,41824,11533570
"13:24:37 2008-Apr-15","221.0","0.00","49.44","2426.97","26.07",6807515,267619,45301,12889727
"13:24:38 2008-Apr-15","221.0","0.00","43.69","2128.16","22.91",6622959,255552,43370,12412486
"13:24:39 2008-Apr-15","222.0","0.00","47.71","2040.37","27.52",6711501,262839,45273,12622361
"13:24:40 2008-Apr-15","222.0","-0.00","49.47","2366.32","31.16",6413007,246325,42850,11902936
"13:24:41 2008-Apr-15","222.0","-0.00","41.9","2057.14","25.14",6441458,247770,42681,11821140
"13:24:42 2008-Apr-15","221.0","-0.00","47.83","2347.83","25.22",9959581,282360,70069,14344177
"13:24:43 2008-Apr-15","221.5","0.00","40.74","2029.63","21.85",6417924,249330,44108,11923067
"13:24:44 2008-Apr-15","222.0","-0.00","45.36","2226.8","23.92",6327900,244777,42775,11727982
"13:24:45 2008-Apr-15","222.0","-0.00","47.87","2331.91","30.21",6327950,243515,43111,11809338
"13:24:46 2008-Apr-15","221.0","-0.00","41.12","2018.69","27.66",6301727,239669,42558,11723194
"13:24:47 2008-Apr-15","221.0","-0.00","47.83","2347.83","32.17",6384790,247084,43098,11896628
"13:24:48 2008-Apr-15","222.0","-0.00","40.74","2029.63","27.41",6240092,239615,42163,11559373
"13:24:49 2008-Apr-15","222.0","0.00",44,2160,"29.2",6432613,252219,44408,12057764
"13:24:50 2008-Apr-15","221.0","-0.00","46.81","2297.87","32.34",6248360,236907,42041,11440492
"13:24:51 2008-Apr-15","221.0","-0.00","43.56","2138.61","30.1",6396784,247744,43932,12038573
"13:24:52 2008-Apr-15","222.0","-0.00","41.9","2057.14","28.19",6304261,238057,42363,11627916
"13:24:53 2008-Apr-15","222.0","0.00","42.31","2107.69","29.23",6394895,248833,43263,12015085
"13:24:54 2008-Apr-15","221.0","0.00","43.56","2170.3","31.68",6289184,241213,43350,11720182
"13:24:55 2008-Apr-15","221.0","-0.00","46.32","2273.68","31.16",6298796,242463,42652,11709147
